Datetime,Avg_Vol_Geo,Boro,street,holidays,Floor,Area (sq ft),Type_of_Project,project_active
2012-02-01,35.04761904761905,Bronx,BURKE AVENUE,False,0,0,No_Project,False
2012-02-01,76.16778523489933,Bronx,EAST GUN HILL ROAD,False,0,0,No_Project,False
2012-02-01,89.55326704545455,Bronx,CASTLE HILL AVENUE,False,0,0,No_Project,False
2012-02-01,95.52227074235807,Bronx,WHITE PLAINS ROAD,False,0,0,No_Project,False
2012-02-01,72.77876106194691,Bronx,BRUCKNER BOULEVARD,False,0,0,No_Project,False
2012-02-01,51.98566552901024,Bronx,EASTCHESTER ROAD,False,0,0,No_Project,False
2012-02-01,99.4025974025974,Bronx,EASTCHESTER ROAD,False,0,0,No_Project,False
2012-02-01,53.12867647058823,Bronx,ZEREGA AVENUE,False,0,0,No_Project,False
2012-02-01,41.37302977232925,Bronx,NEREID AVENUE,False,0,0,No_Project,False
2012-02-01,39.81858019281332,Bronx,PITMAN AVENUE,False,0,0,No_Project,False
2012-02-01,48.45068493150685,Bronx,EAST 222 STREET,False,0,0,No_Project,False
2012-02-01,36.88181818181818,Bronx,STILLWELL AVENUE,False,0,0,No_Project,False
2012-02-01,90.157822191592,Bronx,BAYCHESTER AVENUE,False,0,0,No_Project,False
2012-02-01,100.1440329218107,Bronx,BARTOW AVENUE,False,0,0,No_Project,False
2012-02-01,109.08344733242134,Bronx,EDSON AVENUE,False,0,0,No_Project,False
2012-02-01,50.87659574468085,Bronx,WESTCHESTER AVENUE,False,0,0,No_Project,False
2012-02-01,143.30232558139534,Bronx,CONNER STREET,False,0,0,No_Project,False
2012-02-01,64.74675324675324,Bronx,BRUCKNER BOULEVARD,False,0,0,No_Project,False
2012-02-01,40.062396006655575,Bronx,RANDALL AVENUE,False,0,0,No_Project,False
2012-02-01,7.92226148409894,Bronx,CALHOUN AVENUE,False,0,0,No_Project,False
2012-02-01,39.92606149341142,Bronx,EAST TREMONT AVENUE,False,0,0,No_Project,False
